,Q1,Q2,Q3,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18a,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
543,6,2,16,2,1,1,1,8,8,1,2,2,1,2,2,3,5,1,1,2,3,1,2,1,1,2
545,3,1,19,1,2,1,1,8,9,2,1,2,1,2,2,2,4,1,1,2,2,2,2,2,1,2
550,7,2,32,2,1,1,1,8,8,1,2,1,1,2,2,2,3,1,1,1,2,1,2,1,1,2
551,3,1,7,1,1,2,2,8,8,2,2,2,1,2,2,4,4,1,1,2,3,1,2,1,1,2
553,3,1,19,2,1,1,2,7,5,2,2,2,1,2,2,4,3,1,1,2,5,2,2,1,1,2
556,6,2,19,2,2,1,1,7,8,2,2,2,1,2,2,3,5,2,1,2,5,1,2,2,1,2
558,5,2,11,2,2,1,1,8,9,1,2,2,2,2,2,3,5,1,1,1,2,1,2,2,2,1
563,4,1,1,1,1,1,2,8,9,1,2,2,1,2,2,4,3,2,4,2,4,1,1,2,2,2
567,7,2,29,2,1,1,2,8,8,1,1,1,1,2,2,4,3,1,1,2,4,1,2,2,1,1
568,3,2,33,1,1,1,1,7,7,1,1,1,1,2,2,3,3,1,1,1,1,2,1,2,2,2
570,4,1,11,2,2,2,2,7,8,2,2,2,1,2,2,3,5,1,1,2,3,1,2,1,1,2
571,6,2,1,2,2,2,1,7,7,2,1,1,1,2,2,2,5,1,1,2,1,1,1,2,2,1
573,5,1,10,2,1,1,1,8,8,1,1,1,1,2,2,4,3,1,1,2,2,1,2,1,1,1
575,5,2,21,2,2,2,2,8,8,1,1,1,1,2,1,4,1,1,1,1,1,1,2,2,1,1
578,2,1,1,2,1,1,1,6,8,2,2,2,2,2,2,3,5,1,1,2,1,1,2,2,2,2
581,3,1,35,2,2,2,2,7,7,2,2,1,1,2,2,4,5,1,1,2,2,1,2,2,2,2
583,4,1,3,1,2,2,2,8,8,1,1,2,1,2,2,4,3,1,1,2,3,1,2,2,1,1
587,3,1,24,2,2,2,1,6,9,2,2,2,1,2,2,4,4,1,1,2,4,2,2,2,1,2
589,3,1,20,1,1,2,2,8,6,2,2,2,1,2,2,4,3,1,1,2,2,2,2,2,2,2
593,4,1,4,2,2,2,2,9,7,2,2,2,2,2,2,4,3,1,1,2,3,1,2,2,2,2
595,5,1,5,2,2,2,2,8,6,2,2,2,2,2,2,5,5,1,1,2,2,2,2,1,2,2
597,4,2,7,2,1,2,2,8,8,1,2,2,1,2,2,5,5,1,1,1,2,1,1,1,1,1
603,3,1,15,2,2,1,2,8,7,2,2,2,1,2,2,3,5,1,1,1,3,2,1,2,1,2
609,5,2,9,2,1,2,2,6,6,1,1,1,1,2,1,2,2,1,1,1,3,2,2,2,2,2
611,3,1,39,2,2,1,2,8,7,2,2,2,1,2,2,3,5,1,1,2,3,1,2,1,1,2
616,4,2,1,1,1,1,2,8,8,2,2,1,1,2,2,2,4,1,1,2,3,2,1,1,1,2
618,5,1,1,2,1,1,2,8,7,2,2,2,1,2,2,3,5,1,1,2,2,2,2,2,2,2
620,6,1,1,2,2,2,1,8,8,1,2,1,1,2,2,3,5,1,1,1,3,2,2,2,2,2
625,4,1,1,1,2,1,1,8,6,2,2,2,1,2,2,5,5,1,1,2,4,2,1,1,1,2
628,2,1,1,1,1,2,1,7,5,2,2,2,2,2,2,4,3,1,1,2,3,2,2,2,2,2
630,3,1,1,2,1,2,1,8,8,1,1,2,1,2,1,1,1,1,1,2,3,2,2,1,1,2
638,5,1,1,2,1,1,1,7,10,1,1,2,1,2,2,5,5,1,1,2,4,1,1,2,2,2
640,2,1,1,1,1,1,1,7,5,2,2,2,2,2,2,4,3,4,5,2,2,2,2,2,2,2
